otel_adi,yorum,hizmet,tarih,puan
Green Bay Resort & Spa Bodrum,"REZERVASYONU OLANLAR OKUSUN;
Otelde ilk günümüz maalesef kalite yok. Balkon kapısı kapalı Odaların içi sivrisinek dolu, koridorlar da aynı. Hatta perde ve duvarlar öldürülmüş sivrisineklerle dolu. Banyo çok dar, çocukla girmek çok zor. Yemekler görüntü ve lezzet olarak çok kötü. Salata ve meyve ile karın doyurduk. Akşam 19:00da başlayan yemek için 19:20de gittik masa yok. Aldığımız cevap ise beklemeniz gerekiyor, sonra gelin oldu. Alkolsüz İçecekler berbat. Cam bardaklar çok kirli. Çaylar çok kötü. Herşey dahil otelde patlamış mısır ve pmuk şeker parayla satılıyor hem de çocuk kulübünün önünde. Çocuk etkinliği vasat. Denizi hemen derinleşiyor, berrak değil. Şezlong bulmak imkansız. Asansörler loş ışıkla çalışıyor. Buradaki yorumları son 3 gün kala okusaydım kesinlikle rezervasyonu iptal ederdim. Olumsuz yorumlar çok doğruymuş. Özetle evet paramızla rezil olacağımız 5 gün daha burdayız.","Odalar1,0Hizmet1,0Konum1,0
OdalarDar ve küçük
Yürüme olanaklarıÖyle bir alan göremedim.
Yiyecek ve içeceklerÇok kötü
Önemli ayrıntılarSivrisinek dolu.",Google üzerinde bir ay önce,1/5
Green Bay Resort & Spa Bodrum,"Harika bir konaklama deneyimi yaşadık. Özellikle otel müdürü Mehmet Bey'e ilgisi ve misafirperverliği için çok teşekkür ederiz. Oğlumun tuttuğu balığı mutfakta pişirtip bize servis ettirmesi bizim için unutulmaz ve çok ince bir jest oldu. Ayrıca çıkış işlemlerimizi tamamlamış olmamıza rağmen otelde vakit geçirmemize ve yemeğimizi rahatça yememize izin vermeleri bizi çok mutlu etti.
Bunun dışında otelin konumu oldukça güzel, yemekler çok lezzetli ve tüm personel güler yüzlü ve yardımseverdi. Kendimizi gerçekten değerli hissettik. Gönül rahatlığıyla tavsiye eder, emeği geçen herkese teşekkür ederiz.","Odalar5,0Hizmet5,0Konum5,0
Otelde öne çıkanlarMuhteşem manzara · Sessiz · Çocuklar için uygun · Büyük fırsat",Google üzerinde 3 hafta önce,5/5
Green Bay Resort & Spa Bodrum,"7-11 Haziran tarihlerinde bebeğimizle konakladığımız otelde güzel olan tek şey denizi ve personelin güleryüzlü oluşuydu. Temizlik konusunda korkunçlar odalar asla temizlenmiyor sadece yatağı toplayıp çıkıyorlar masanın üstü bile silinmiyordu banyolarda gider yok her taraf su doluyor leş gibi oluyor üstün körü bi vileda atıyorlar geldiklerinde de. Mini bar kaldığımız süre boyunca sadece bir defa yenilendi onda da boş olmasına rağmen birer tane içecek bırakmışlardı su bile koymuyorlar odaya. Bu rahatsızlığımız dönmeden bir gün önce Görkem Bey tarafından giderildi. Kendisine ilgisi için teşekkür ederiz. Denizi güzel, temiz koy zaten şezlonglar yeterli görünüyor bu bölgenin düzeni temizliği iyiydi sadece odalar konusunda temizlik korkunç. Restoran inanılmaz yetersiz, çeşit az lezzet yok. Basit bir peynir bile aşırı lezzetsizdi. Izgara korkunç. Kaldığımız süre boyunca resmen aç kaldık sadece snack barda bir şeyler yiyebildik. Kokteyller sınırlı her an yapan kişi değiştiği için bir kere beğenip içtiğiniz bir şeyi tekrar içme ihtimaliniz sıfır. Aşırı sinek ve böcek var herkes bu konuda çok rahatsızdı restoran sinek dolu her yerinizi bir şey ısırıyor sürekli. Otel oldukça büyük fakat her şeyin birbirine oldukça yakın olması bizim için çok iyiydi. Restoran ve temizliğe el atılırsa oldukça keyifli bir nokta olabilir çocuklu aileler için","Odalar1,0Hizmet2,0Konum3,0
Otelde öne çıkanlarMuhteşem manzara · Çocuklar için uygun
OdalarTemizlik çok kötü
Yürüme olanaklarıDeniz restoran odalar her şey çok yakın birbirine öyle uzun uzun yürüyüşler yapmıyorsunuz
Yiyecek ve içeceklerRestoran korkunç lezzetsiz, çeşit çok az.",Google üzerinde bir ay önce,1/5
Green Bay Resort & Spa Bodrum,"Balayı çifti olarak bu oteli büyük beklentilerle tercih ettik. Girişte, balayı çifti olduğumuz için yalnızca daha büyük ve geniş bir oda tahsis edildi. Bunun dışında ilk gün odaya bir şişe şarap ve kesilmemiş meyve tabağı bırakıldı.
Ancak 5 gecelik konaklamamız boyunca balayı çiftlerine özel olduğu belirtilen veya beklenen hiçbir ekstra jestle karşılaşmadık. Özel bir akşam yemeği, ücretsiz masaj, su sporları veya buna benzer herhangi bir ayrıcalık sunulmadı. Balayı konsepti maalesef sadece oda değişikliği ve ilk gün getirilen ikramlarla sınırlı kaldı. Bu durum bizim için hayal kırıklığı oldu.
Bununla birlikte, ETS Tur temsilcisi arkadaşlar son derece ilgili ve güler yüzlüydü. Ellerinden geldiğince yardımcı olmaya çalıştılar ve kendilerine teşekkür ederiz. Eleştirimiz kesinlikle onlara değil, otelin balayı misafirlerine sunduğu yetersiz hizmet anlayışınadır.
Balayı çiftlerinin bu oteli tercih etmeden önce beklentilerini buna göre değerlendirmelerini tavsiye ederim.","Odalar5,0Hizmet2,0Konum5,0
Otelde öne çıkanlarMuhteşem manzara · Sessiz",Google üzerinde bir ay önce,2/5
Green Bay Resort & Spa Bodrum,"Otelin en beğendiğim özelliği iki tane iskelesinin olmasıydı. Ana iskelede müzik çalıyor ve etkinlikler yapıldığı için biraz daha canlı. Ben kafa dinlemek istediğim için diğer iskeleyi tercih ettim sessiz sakindi ilk defa çift iskelesi olan bir otelde konakladım bu önemli bir artı.
Otelde kahvaltıda omlet sırası çok uzun oluyor buna bir çözüm bulunması lazım sırada uzun süre beklemek istemediğim için normalde tavada yumurta yediğim halde almadım.
Sivrisinek konusu evet var sürekli ilaçlama yapılıyor otel ormanın arasında olduğundan sanırım bu kadar çözüm bulunabiliyor. Aşırı bir sivrisinek yok bu arada sadece geceleri sahilde oluyor evet. Ama bu yüzden otelden vazgeçilecek kadar değil.
Odalar temizdi, havlular temizdi. Plaj yakınındaki tuvaletler temizdi. Emeği geçen çalışanlara teşekkür ediyorum.
Daha önce daha premium otellerde kaldım hizmet açısından çok bir fark göremiyorum. Çalışanlar çok çok iyi.
Resepsiyondan a la carte hakkımız olduğu söylenmedi bu önemli bence haberimiz olmayabilirdi. Valizleri taşımaya yardımcı olan personelden öğrendik kendisine teşekkür ediyorum.
A la carte restoranda yediğimiz antrikot efsaneydi aşçının ellerine sağlık.
Otel tam bir aile oteli zaten herkes ailesiyle gelmişti ve çocuk sayısı oldukça fazlaydı :)
Tek başına ya da kızkıza gelecek hemcinslerime tavsiye ederim rahatsızlık yaşayacaklarını düşünmüyorum.
Plajda şezlong şemsiye sayısı çok baya yeterli başka otellerde yaşadığımız yer bulamama sorununu yaşamadık. Diğer iskelede ve sahilde boş şezlong rahatlıkla bulabilirsiniz. Sadece ana iskele dolu oluyor.Bence otelin en büyük artısı bu benim için deniz ve kafa dinlemek önemliydi ben memnun kaldım.","Odalar5,0Hizmet5,0Konum5,0
Otelde öne çıkanlarMuhteşem manzara · Sessiz · Çocuklar için uygun",Google üzerinde bir ay önce,5/5
Green Bay Resort & Spa Bodrum,"25 - 31Temmuz arası konakladık. Otelin yeri çok güzel ve sakin, yeşil alan bol. Özellikle denizi çok güzeldi durgun ve temizdi, havuzlarda temizdi bakımlıydı. Ayrıca 16 yaş üstü havuzunun olması çok güzel biz orayı kullandık hep. Animasyon ekibi ve tüm çalışanlar çok eğlenceliydi, harika bir tatil geçirdik. Özellikle animasyon ekibinden Mehmet ve Irmakla çok eğlendik, ekipteki herkes samimiydi istediğimiz gibi sohbet ettik. Yemeklerin geneli lezzetliydi, çeşitler yeterliydi. Odamız küçüktü beklentime göre ama temizlik gayet iyiydi hergün yapıldı. Bir öneri olarak camlara sineklik takmaları lazım ve odalardaki masalar biraz eski nemden dolayı bazı yüzeyler yapış yapış gibiydi.","Odalar4,0Hizmet5,0Konum5,0",Google üzerinde 3 hafta önce,5/5
Green Bay Resort & Spa Bodrum,Çok sıkıcı bir otel. Ta Ankara dan 3 aile geldik özellikle odalarımız yan yana olsun dedik ve geldiğimiz de hepimiz farklı yerler de odalar verdiler. Verdikleri odanın içerisinde yan odaya açılan bir kapı var ve bunu resepsiyona bildirdiğimizde orası açılmaz cevabını verdiler sonra bu durumdan rahatsız olduğumuz için başka odaya geçtik. Yemekler ve eğlence konusunda otel küçük bir tatil köyü konseptinde içecekler iyi değil yemekler idare eder. Personeller yetersiz derece de bir şey sorduğumuz da başkalarına yönlendiriyolar. Denizi güzel kumdan dolayı denizin temizliği gözükmüyor. Etkinlik çok fazla yok. Oda temizliklikleri normal aşırı bir temizlik yok. Mini bara içki koymuyolar sadece cola fanta. Çok memnun kalınacak bir otel olduğunu düşünmüyorum. Bir daha gelmem,"Odalar3,0Hizmet3,0Konum2,0
Otelde öne çıkanlarSessiz · Çocuklar için uygun
Odalarİdare eder",Google üzerinde 4 hafta önce,1/5
Green Bay Resort & Spa Bodrum,"Green Bay Resort’ta konakladığımız süre boyunca genel olarak memnun kalmadık diyemem. Öncelikle denizinden bahsetmek isterim; bugüne kadar gördüğüm en güzel denizlerden biri diyebilirim. Deniz oldukça temiz, sakin ve neredeyse tamamen … Devamı",,Google üzerinde 2 ay önce,3/5
Green Bay Resort & Spa Bodrum,6-10 Haziran tarihleri arasında eşim ve çocuğumla birlikte 4 gece 5 gün konakladık. Otele sabah 11:00 civarında ulaştık. Odaların saat 14:00'te hazır olacağı söylendi ancak bu süre boyunca otelin tüm imkanlarından faydalanabileceğimiz … Devamı,,Google üzerinde 2 ay önce,5/5
Green Bay Resort & Spa Bodrum,"Otele dört geceliğine geldik ama verdiğimiz paraya üzülmesek geldiğimiz gün dönecektik. Manzara deniz olağanüstü. Bu manzaraya çok yazık edilmiş. Odalar çok küçük, çok eski ve pis. İçerisi sivrisinek dolu. Şikayetimizi ilettik spreyle … Devamı",,Google üzerinde bir ay önce düzenlendi,2/5
Green Bay Resort & Spa Bodrum,"Keşke daha önce gelseydim dediğim bir otel oldu benim için. İlk olarak ulaşım çok kolay havalimanından 20 dakika, otel çok büyük bir koyda ve yeşillikler içerisinde. Otel çalışanların hepsi çok güler yüzlü ve her an size yardımcı olabilmek … Devamı",,Google üzerinde 3 ay önce,5/5
Green Bay Resort & Spa Bodrum,Haziran 2026’da 5 gece konaklama yaptık. Balayı odası olmasına rağmen oda seçimini upgrade etmediler. Odaların temizliği iyiydi. Balayı odası olduğu için meyve ve şarap ikramı vardı. Otelin konumu ve denizi muhteşem. Yemekler genelde aynı … Devamı,,Google üzerinde 2 ay önce,4/5
Green Bay Resort & Spa Bodrum,Yorumları okuyarak büyük bir tereddütle gelecek iken mayıs başı son okuduğumuz yorumlar gelene kadar motivasyonumuzu arttırmıştı. Ta ki gelip her şeyi görüp yazılan o sezon başı müthiş yorumları personellere ve çevrelerindeki insanlara … Devamı,,Google üzerinde 2 ay önce,3/5
Green Bay Resort & Spa Bodrum,Kurban bayramı için geldik yorumlara baktığımızda herşey çok güzel görünüyordu ama sırasıyla belirtmek isterim 4 günde yaşadıklarımı. Odalar fena değil giriş katta kaldığımız için sineklik bozuktu butun gün içeriden salyangoz ve sivri sinek … Devamı,,Google üzerinde 2 ay önce düzenlendi,3/5
Green Bay Resort & Spa Bodrum,"Öncelikle denizi ve plajı çok güzel konumu da çok güzel denizi çarşaf gibi daha önce bir çok koy ve plaja sahile gitmiş biri olarak bu yorumu yapıyorum.
Odada ciddi anlamda hijyen sorunu var çarşaflarda kıl vardı değiştirmiyorlar … Devamı",,Google üzerinde 2 ay önce,1/5
Green Bay Resort & Spa Bodrum,Uzun süre sonra yaptığımız 5* ve her şey dahil konsept konaklamalarından biriydi. Otel çocuklu aileler için muazzam. Her şey ulaşılabilir ve otelin büyüklüğü içinde kaybolacak ölçüde olmaması açısından oldukça güzel. Çalışan sayısı oldukça … Devamı,,Google üzerinde 2 ay önce,5/5
Green Bay Resort & Spa Bodrum,"Green Bay Resort'ta güzel bir tatil geçirdik. Otelin en büyük avantajı koydaki tek otel olması. Muhteşem bir doğanın içinde, sakin ve berrak deniziyle gerçekten dinlendirici bir ortam sunuyor. Otel tam dolu olmasına rağmen koyun genişliği … Devamı",,Google üzerinde bir ay önce,5/5
Green Bay Resort & Spa Bodrum,"Green Bay Resort’ta konakladığımız süre boyunca genel olarak memnun kalmadık diyemem. Öncelikle denizinden bahsetmek isterim; bugüne kadar gördüğüm en güzel denizlerden biri diyebilirim. Deniz oldukça temiz, sakin ve neredeyse tamamen dalgasız. Deniz sevenler için gerçekten büyük bir avantaj.
Odalar temiz ve düzenliydi. Odanın renkleri ve dekorasyonu da ferah ve iç açıcı bir atmosfer oluşturuyor. Wi-Fi sorunsuz çalışıyor.
Yemek çeşitliliği oldukça fazla. Lezzetler çok üst düzey olmasa da kesinlikle kötü değil; herkesin kendine uygun bir şey bulabileceği kadar seçenek bulunuyor.
Ancak otelin bazı eksikleri de var. En dikkat çeken konu personel yetersizliği. Çalışanlar ellerinden geleni yapmaya çalışıyor ancak misafir yoğunluğu nedeniyle yetişmekte zorlanıyorlar. Personelin oldukça yorgun olduğu hissediliyor ve otelin kapasitesinin üzerinde misafir ağırladığını düşündüren bir kalabalık mevcut.
Bu yoğunluğun hizmet kalitesine de yansıdığını düşünüyorum. Özellikle restoran ve bar bölümlerinde hizmet oldukça zayıf. Çoğu zaman içeceklerinizi kendiniz gidip almak durumunda kalıyorsunuz ve misafirlerle yeterince ilgilenilemiyor. Buna karşılık bazı yabancı misafirlere daha fazla ilgi gösterildiğini, hatta içeceklerin masalarına kadar servis edildiğini gözlemledik. Bu durum yerli misafirler açısından hoş bir izlenim bırakmıyor. Lobide görev yapan ekip ise oldukça ilgili ve yardımcıydı.
Sessiz ve huzurlu bir tatil arayanlara çok uygun olmayabilir. Otelde çok sayıda çocuklu aile bulunuyor ve gün boyu çocuk sesleri yoğun şekilde hissediliyor. Buna karşılık çocuklu aileler için bazı aktiviteler mevcut.
Aktivite konusunda da beklentiyi çok yüksek tutmamak gerekiyor. Hem çocuklar hem de yetişkinler için etkinlikler olsa da gün boyu dolu dolu bir program sunulduğunu söyleyemem. Animasyon ve aktiviteler belirli saatlerle sınırlı kalıyor, bu nedenle daha hareketli ve eğlence odaklı bir tatil arayanlar beklentilerini buna göre ayarlamalı.
Bir diğer önemli eksik ise sivrisinek ve böcek problemi. Otel ormanlık bir koyun içinde yer aldığı için bu durum bir noktaya kadar anlaşılabilir olsa da yapılan ilaçlamaların yeterli olmadığını düşünüyorum. Özellikle akşam saatlerinde sivrisinekler oldukça rahatsız ediyor. Isırıklar sonrasında ciddi kaşıntı ve şişlik yaşadık.
Sonuç olarak Green Bay Resort’un en güçlü yanı kesinlikle denizi. Muhteşem denizi, temiz odaları ve geniş yemek seçenekleriyle güzel bir tatil geçirilebilir. Ancak yoğunluk, personel yetersizliği, hizmet kalitesi, sınırlı aktiviteler ve sivrisinek sorunu nedeniyle geliştirilmesi gereken noktalar olduğunu düşünüyorum.","Odalar5,0Hizmet2,0Konum4,0
Otelde öne çıkanlarÇocuklar için uygun",Google üzerinde 2 ay önce,3/5
Green Bay Resort & Spa Bodrum,"6-10 Haziran tarihleri arasında eşim ve çocuğumla birlikte 4 gece 5 gün konakladık. Otele sabah 11:00 civarında ulaştık. Odaların saat 14:00'te hazır olacağı söylendi ancak bu süre boyunca otelin tüm imkanlarından faydalanabileceğimiz belirtildi.
Genel olarak otelden oldukça memnun ayrıldık. Antalya veya Bodrum’daki ultra lüks tesislerle kıyaslamadığınız sürece, fiyat-performans açısından kesinlikle başarılı ve 5 yıldızı hak eden bir otel olduğunu düşünüyorum.
Beğendiğimiz noktalar:
Snack barın sipariş usulü çalışması ve ürünlerin oldukça lezzetli olması. Özellikle pizza ve makarnaları çok başarılıydı.
Deniz harika; dalgasız, temiz ve korunaklı bir koyda yer alıyor.
Şezlong bulma konusunda hiçbir sıkıntı yaşamadık, günün her saatinde boş yer vardı.
Restoran ve snack barların sahile yakın olması büyük rahatlık sağlıyor.
Personel son derece ilgili, yardımsever ve güler yüzlü.
Odalar her gün düzenli temizleniyor, minibar da günlük olarak yenileniyor.
Waffle ve gözleme alanı çok keyifli; hem dinlenmek hem de lezzetli atıştırmalıklar için ideal.
Ortak kullanım alanlarındaki tuvaletler oldukça temizdi.
Havuzların temizliği başarılıydı.
Orman içinde yer alması ve gün batımı manzarası gerçekten etkileyici.
Izgara çeşitleri ve mezeler çok lezzetliydi.
Akşamları düzenlenen canlı müzik ve animasyon gösterileri kaliteli ve eğlenceliydi.
Kids Club başarılıydı, çocuğumuz keyifli vakit geçirdi.
Çocuk havuzu temiz ve bakımlıydı.
Gün boyu soğuk kahve bulabilmek güzel bir detaydı.
Türk kahvesinin ücretsiz olması da hoşumuza gitti.
Geliştirilebilecek noktalar:
Odalardaki ahşap mobilyaların yüzeyleri yapışkan hissi veriyordu. Görüştüğümüz kadarıyla birçok odada benzer durum vardı ancak bizim için çok büyük bir sorun olmadı.
Yemek çeşitliliği biraz daha artırılabilir. Bununla birlikte aç kalmanız mümkün değil; snack bar, ızgaralar ve mezeler yeterli oluyor.
Ormanlık bölgede bulunduğu için özellikle akşam saatlerinde sivrisinek yoğunluğu oldukça fazla. Yanınızda sinek kovucu bulundurmanız faydalı olacaktır.
Kahvaltıda taze sıkılmış portakal suyu olmasını beklerdim.
Bazı yemekler kısa sürede tükenebiliyor ve zaman zaman yenilenmediğini gördük.
Genel olarak huzurlu bir tatil geçirdik. Özellikle çocuklu ailelere ve fiyat-performans odaklı tatil arayanlara gönül rahatlığıyla tavsiye ederim. 🌟","Odalar5,0Hizmet5,0Konum5,0
Otelde öne çıkanlarMuhteşem manzara · Çocuklar için uygun · Büyük fırsat",Google üzerinde 2 ay önce,5/5
Green Bay Resort & Spa Bodrum,"Otele dört geceliğine geldik ama verdiğimiz paraya üzülmesek geldiğimiz gün dönecektik. Manzara deniz olağanüstü. Bu manzaraya çok yazık edilmiş. Odalar çok küçük, çok eski ve pis. İçerisi sivrisinek dolu. Şikayetimizi ilettik spreyle ilaçladılar. Yerler ölü sivrisinek dolu öylece gittiler. Banyoda havalandırma yok ilettik ancak hiçbir şey yapılmadı. Yemekler çeşitli ancak iştah kapatıcı. Kahvaltıda yarım bardak çay içebildim sadece. Yemeklerin üzerinde sinekler uçuşuyor kimse oralı değil. Bütün bir yıl tatil hayali kurup geliyorsun geldiğin otel pislik içinde. Çok can sıkıcı gerçekten.
Yorumuma güncelleme yapmak istedim. Tatilimizin ikinci günü şikayetlerimi misafir ilişkilerinden Pırıl Hanım’a ilettim. Beni çok güzel bir şekilde dinledi ve durumumu çok iyi anladı. Tatilimizi daha iyi bir hale getirmek için elinden geleni yaptı. Buradan kendisine çok teşekkür ediyoruz. Otelin iki güzel tarafı var. Birincisi olağanüstü manzarası ve Pırıl Hanım gibi bir değeri.","Odalar1,0Hizmet2,0Konum5,0
Otelde öne çıkanlarMuhteşem manzara
OdalarOdalar çok küçük, eski, pis ve sivrisinek dolu.
Yakındaki etkinliklerEtkinlik olarak çok vasat.Animasyon ekibini henüz görmedim.
GüvenlikHerhangi bir sıkıntı görmedim.
Yürüme olanaklarıÇevre düzenlemesi ve manzara çok güzel. Ancak çok fazla sivrisinek var.
Yiyecek ve içeceklerYiyecekler çeşitli ancak çok lezzetsiz. Üstlerinde sinek kaynıyor ve kimse müdahale etmiyor.
Önemli ayrıntılarBanyosunda havalandırma yok. Olmadığını belirttik ve hiçbir şey yapılmadı. Koridorlardaki halılar leke içinde. Duvarlarda sivrisinek ölüleri var. Böylesine güzel bir manzarası olan otele çok yazık edilmiş.",Google üzerinde bir ay önce düzenlendi,2/5
Green Bay Resort & Spa Bodrum,"Keşke daha önce gelseydim dediğim bir otel oldu benim için. İlk olarak ulaşım çok kolay havalimanından 20 dakika, otel çok büyük bir koyda ve yeşillikler içerisinde. Otel çalışanların hepsi çok güler yüzlü ve her an size yardımcı olabilmek için yanınızdalar. Girişte karşılama çok güzel ve hızlıydı, hiç beklemeden erken gitmemize rağmen odalarımıza giriş yaptık. Odalar temiz düzenli ve amacına fazlasıyla hizmet ediyor. Biz Deniz manzaralı oda da kaldık çok beğendik. Otel düz ayak olmakla birlikte tüm alanlar, restoran, snack, barlar kısacası ulaşmak isteyeceğiniz her yer birkaç adım mesafede. Hemen hemen her şey birkaç adım ötemizde. Plaj, Deniz ve iskele gerçekten çok güzel ve tüm üniteler yeni. Tüm alanlarında sunulan yemekler, fast food yiyecekler tatlılar, içecekler markalı ve çok başarılı. Zeytinyağlılara ayrıca değinmek isterim. Spa merkezi ise bugüne kadar gördüklerimin en iyilerinden, sunulan hizmetler gerçekten çok kaliteli ve başarılı. Spa Merkezi yöneticileri ve ekip mükemmel. Daha anlatacak birçok şey var ama buraya sığmaz gibi geliyor, kesinlikle gelinmesi gereken tam bir fiyat performans oteli. Fazlası var azı yok emin olabilirsiniz. Tüm çalışan ve ekip üyelerine ilgi ve alakaları için teşekkür ederken Pırıl hanıma ayrıca değinmek isterim. Otele giriş yaptığımız ilk günden itibaren her gün bizimle iletişim kurarak oluşabilecek ihtiyaçlarımızla ilgili olarak yardımcı olmaya çalışması ve yardımcı olması burada bizi özel hissettirdi. İlk fırsatta tekrar gelmek dileğiyle. Her şey için teşekkürler...","Odalar4,0Hizmet5,0Konum5,0
Otelde öne çıkanlarMuhteşem manzara · Büyük fırsat
OdalarYeterli ve tatminkar
Yiyecek ve içeceklerHer şey el yapımı ve hazır ürün yok. Sunum ve lezzet çok başarılı. Çeşit bol ve tatminkar.
Önemli ayrıntılarDeniz ve Koy çok güzel, tesis düz ayak ve her yere ulaşım çok kolay...",Google üzerinde 3 ay önce,5/5
Green Bay Resort & Spa Bodrum,"Haziran 2026’da 5 gece konaklama yaptık. Balayı odası olmasına rağmen oda seçimini upgrade etmediler. Odaların temizliği iyiydi. Balayı odası olduğu için meyve ve şarap ikramı vardı. Otelin konumu ve denizi muhteşem. Yemekler genelde aynı ve değişmiyor. Lezzet çok iyi değil. Animasyon olarak içeride alanlar sınırlı maalesef, yine de animatör arkadaşlar ellerinden geldiği kadar ilgilenmeye çalışıyorlar.","Odalar5,0Hizmet4,0Konum5,0
Otelde öne çıkanlarMuhteşem manzara · Sessiz · Çocuklar için uygun",Google üzerinde 2 ay önce,4/5
Green Bay Resort & Spa Bodrum,"Yorumları okuyarak büyük bir tereddütle gelecek iken mayıs başı son okuduğumuz yorumlar gelene kadar motivasyonumuzu arttırmıştı. Ta ki gelip her şeyi görüp yazılan o sezon başı müthiş yorumları personellere ve çevrelerindeki insanlara yaptırdıklarını anlayana kadar.
Otelin lokasyonu denizin güzelliği manzarası oda temizliği içkileri ve baklavaları harika.
Özellikle etkinlikleri kesinlikle çok başarılı.
Ancak ne yazık ki yemek konusunda iyi diyebileceğim tek bir malzeme mevcut değil. Çok fazla sinek böcek var bunun sebebi ilaçlamanın yapılmamış olmasıdır. Daha önce torosların dibinde tatil yapmış biri olarak söylüyorum ki tek bir sineğe rastlamamıştım. Restoranda dünyanın en kötü yemeği seçilerek tescillenmiş kapuska çıkmasından her sabah sabit İngiliz fasülyesi menemen ve omlet sürekli aynı sıcaklar ile kendilerini tekrarlamaktalar. Hamur işi mevcut ancak mayalanamamış ve tadı tuzu olmayan iç malzemesi ufak dokundurulmuş hamur benzeri bir iş... Çeşit fazla ancak lezzet yok ve yiyeceklerin üzerine de ne olduğunu yazma zahmetinde bulunmamaları işletme olarak ne kadar acemi olduklarının göstergesi maalesef.. Her gün çıkardıkları köfte çamur gibi, tavukları iyi pişmemiş, ana yemek beklentiniz olmamalı, makarnasının tadı bile düzgün olmayan bir işeletmeymiş ve bu tatilin 6 ay taksidini ödeyecek olmanın da derin üzüntüsü içerisindeyim... Geleceklere tavsiyem daha önceden çok iyi tatiller yapmamışsanız belki tatmin eder ancak yine de beklentiniz asla olmamalı. Mayıs haziran fiyatı çevreye göre uygun ancak temmuz fiyatı bu özensizliğe göre fazla şişirilmiş aynı fiyata özellikle antalya göynükte çok üst seviye tatil yapacağınız oteller mevcut.
Bir kış çalışıp tatil bekleyip üzerine taksit ödeyip yemek lezzet konusunda hayal kırıklığı yaşamak istemiyorsanız bu oteli seçeneklerinizden direkt elemenizi öneririm.
Deniz, etkinlik ve konum önceliğiniz ise memnun kalırsınız.","Odalar4,0Hizmet5,0Konum5,0
Otelde öne çıkanlarMuhteşem manzara
OdalarOdalar fiyat performans odası, küçük oda dolap çok küçük içerisinde şampuan duş jeli tarzı herhangi bir temizlik malzemesi bulunmuyor. Odaların temizliği gayet yerinde. Küçük bir not ranzalı oda isteseniz de istemeseniz de odalarda ranza bulunmakta açılır kapanır şekilde. Bu sebeple ekstra kara manzaralı alıp fazla ücret ödemeyin direkt ranzalı seçebilirsiniz çünkü kara manzaralı odalarda da duvara gömülmüş ranza bulunmaktadır.
Yakındaki etkinliklerSabahtan akşama kadar etkinlik mevcut. Hepsi de çok başarılı.
GüvenlikKoy içerisinde tek otel zaten güvenlik sağlanacak herhangi bir durum yok
Yürüme olanaklarıOtel küçük olduğu için yürüme alanı bulunmamaktadır.
Yiyecek ve içeceklerEn büyük eksiklik ve tercihimizdeki büyük bir pişmanlık oldu. Düz yağlı makarna bile lezzetsiz ne yazık ki.. Çeşit var ancak hergün kendilerini tekrar ediyorlar. Üzülerek söylüyorum ki lezzet ciddi anlamda berbat.. İyi olan tek şey baklava ve alkolleri. Alkol almak içinde müthiş bir sıra beklemek zorundasınız barmen oldukça hızlı ancak kişi sayısı için yetersiz.",Google üzerinde 2 ay önce,3/5
Green Bay Resort & Spa Bodrum,"Kurban bayramı için geldik yorumlara baktığımızda herşey çok güzel görünüyordu ama sırasıyla belirtmek isterim 4 günde yaşadıklarımı. Odalar fena değil giriş katta kaldığımız için sineklik bozuktu butun gün içeriden salyangoz ve sivri sinek avladık, iyi yönünden bakalım avcılığımız gelişti. Hizmet olarak mutfak berbattı tek güzel olan hamur işleriydi ama ona hep aynı çeşitti her güne farklı çeşitler çıkmasını veya biraz daha lezzetli olmasını beklerdim, alevli şatafatlı pekin ördeği beklemedik ama pilavın pişmesini köftenin bitık lezzetli olmasını dilerdim. 3. Akşam yemeği menüsü ve aynı yemekler sunuldu hep. Bir sıkıntıda tabak bardak ve çatallar pisti, onada iyi tarafından bakalım bağışıklık kazandık. Onun dışında özellikle çocuk havuzundan yağmur çok ilgili ve sevimliydi sanki oteldeki bütün açığı kapatmaya çalışıyormuş gibi, ama diğer öğrenci çocuklarda iyiydi haklarını yemek doğru olmaz. Snack bar daki efe ye animasyondaki mehmet e hayran kaldık. Ne beklediğinizle doğru orantılı. Çok kalabalık olmasına rağmen huzurlu bir tatıl geçirdik.","Odalar3,0Hizmet3,0Konum5,0",Google üzerinde 2 ay önce düzenlendi,3/5
